Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??/T? khóa,Thông tin xu?t b?n,Barcode
Economic policy and climate change tradable permits for reducing carbon emission / Paul Koutstaal, ,"Koutstaal, Paul", ,Economics,"UK. : Edward elgar, 1997",NV00451
Environmentally sustainable economic development / Asayehgn Desta, ,"Desta, Asayehgn", ,Economics,"USA. : Praeger, 1999",NV00452
Making better environmental decisions - An alternative to risk assessment / Mary O'Brien, ,"O'Brien, Mary", ,Real Estate,"USA. : The MIT Press, 2000",NV06574
Sustainability and global environmental policy - New pers pectives / Andrew K. Dragun, ,"Dragun, Andrew K.",Kristin M. Jakobsson,Economics,"UK. : Edward elgar, 1997",NV00453
Five cities - Modelling Asian urban polulation - Environment dynamics / Gayl D. Ness, ,Gayl D. Ness,Michael M. Low,Social political,"Singapore. : Oxford university press, 2000",NV06575
Economy & environment: Case stydies in Vietnam / Herminia Francisco, ,"Francisco, Herminia",David Glover,Real Estate,"Philippines. : Economic and Environment Program for Southest Asian, 1999",NV00454
Forest politics - The volution of international cooperation / David Humphreys, ,"Humphreys, David", ,Real Estate,"E. : Earthscan Publications Ltd, 1996",NV00455
Why Goverments waste natural resouces. Policy failures in developing countries / William Ascher, ,"Ascher, William", ,Real Estate,"USA. : The Johns Hopkins University press, 1999",NV00456
Uncovering the hidden harvest valuation methods for woodland and forest resoueces / Bruce M. Campbell, ,"Campbell, Bruce M.",Martin K Luckert,Real Estate,"E. : Earthscan Publications Ltd, 2002",NV00457
"Women, The environment and sustainable development: Towards a theoretical synthesis / Rosi Braidotti", ,Rosi Braidotti,"Ewa Charkiewicz;""Sabine Hausler"";""Saskia Wieringa""",Educational culture,"UK. : Zed Book, 1994",NV00458
State of the World 1999: A worldwatch institute report on progress toward a sustainable society / Lester R. Brown, ,"Brown, Lester R.",Christopher Flavin,Economics,"E. : Earthscan Publications Ltd, 1999",NV00459
"The politics of sustainable development: Theory, policy and practice within the European Union / Susan Baker", ,"Susan, Baker","Maria Kousis;""Dick Richardson""",Real Estate,"E. : Routledge, 1997",NV00460
Desiging the green economy: The postindustrial alternative to corporate globalization / Brian Milani, ,"Milani, Brian", ,Economics,"USA. : Rowman & Littlefield Pubishers Inc, 2000",NV00461
"International trade, factor movements and the environment / Michael Rauscher", ,"Rauscher, Michael", ,Real Estate,"USA. : Clarendon Press, 1997",NV00462
Eco - Economy - Building an economy for the Earth / Lester R. Brown, ,"Brown, Lester R.", ,Real Estate,"USA. : W. W. Norton & Company, 2001",NV00463
Accountable aid: Local participation in majoy projects / Patricia Feeney, ,"Feeney, Patricia", ,Commerce,"UK. : An Oxfam Publications, 1998",NV00464
Global environment outlook 2000, , , ,Real Estate,"E. : Earthscan Publications Ltd, 1999",NV00465
How context matters: Linking environmental policy to people and place / Grorge Honadle, ,"Honadle, Grorge", ,Economics,"Canada : Kumarian Press, 1999",NV00466
You can't eat GNP: Economics as if ecology mattered / Eric A. Davidson, ,"Davidson, Eric A.", ,Real Estate,"USA. : Pereus Publishing, 2000",NV00467
Economists and the environment / Carla Ravaioli, ,"Ravaioli, Carla", ,Real Estate,"UK. : Zed Book, 1995",NV00468
"Biodiversity, conservation and sustainable development / Clem Tisdell", ,"Tisdell, Clem", ,Real Estate,"USA. : Edward elgar, 2000",NV00469
"Valuing environmental preferences: Theory and practice of the contingent valuation method in the US, EU, and Developing Countries / Ian J. Bateman", ,"Bateman, Ian J.",Ken G. Willis,Real Estate,"E. : Earthscan Publications Ltd, 2002",NV00470
Valuing environmental and natural resources: The econometrics of non-market valuation / Timothy C. Haab, ,"Haab, Timothy C.",Kenneth E. McConnell,Real Estate,"USA. : Edward elgar, 2002",NV03795
"Environmental regulation in China Institions, enforcement, and compliance / Xiaoying Ma", ,Xiaoying Ma,Leonard Ortolano,Economics,"USA. : Rowman & Littlefield Pubishers Inc, 2000",NV00472
"Energy, environment & development / Jose' Goldemberg", ,"Goldemberg, Jose'", ,Real Estate,"UK. : Earthscan Publications Ltd, 1996",NV00473
A new green order? The World Bank and the politics of the global environment facility / Zoe Young, ,"Young, Zoe", ,Educational culture,"E. : Pluto Press, 2002",NV00474
Small Is stupid: Blowing the whistle on the greens / Wilfred Beckerman, ,"Beckerman, Wilfred", ,Real Estate,"E. : Duck worth, 1995",NV06576
Green markets: The economics of sustainable development / Theodore Panayotou, ,"Panayotou, Theodore", ,Economics,"USA. : Institute for Contemporary Studies, 1993","NV00476;""NV03860"""
Instruments of change: Motivating and financing sustainable development / Theodore Panayotou, ,"Panayotou, Theodore", ,Real Estate,"E. : Earthscan Publications Ltd, 1998",NV00477
"Energy, environment and the economy: Asian perspectives / Paul R. Kleindorfer", ,"Kleindorfer, Paul R.","Howard C. Kunreuther;""David S. Hong""",Real Estate,"USA. : Edward elgar, 1996",NV00478
"The Earth Brokers: Power, politics and world development / Pratap Chatterjee", ,"Chatterjee, Pratap",Matthias Finge,Economics,"E. : Routledge, 1994",NV00479
Every drop for sale : Our desperate battle over water in a world about to run out / Jeffrey Rothfeder, ,"Rothfeder, Jeffrey", ,Real Estate,"USA. : Tarcher Putnam, 2001",NV00480
"Survival strategies on a coastal frontier: Agrarian expansion, resource scarcity and social change in livingston, Guatemala / Caro Mendez Nelson", ,"Nelson, Caro Mendez", ,Real Estate,"Poland. : Institute of Social Studies, 1999",NV00481
Economic analysis of land use in global climate change policy / Thomas W. Hertel, ,"Hertel, Thomas W.","Steven K. Rose;""Richard S. J. Tol""",Economics,"USA. : Routledge, 2009",NV00482
Renewable energy from forest resources in the United States / Barry D. Slomon, ,"Slomon, Barry D.",Valerie A. Luzadis,Real Estate,"USA. : Routledge, 2009",NV00483
Ecological economics: Critical concepts in the environment. Volume II: Sustaining well-being / Clive L. Spash, ,"Spash, Clive L.", ,Real Estate,"USA. : Routledge, 2009",NV00484
Ecological economics : Critical concepts in the environment. Volume I: Foundations / Clive L. Spash, ,"Spash, Clive L.", ,Real Estate,"USA. : Routledge, 2009",NV00485
Ecological economics: Critical concepts in the environment. Volume III: Environmental value / Clive L. Spash, ,"Spash, Clive L.", ,Real Estate,"USA. : Routledge, 2009",NV00486
Ecological economics: Critical concepts in the environment. Volume IV: Policy problems and approaches / Clive L. Spash, ,"Spash, Clive L.", ,Real Estate,"USA. : Routledge, 2009",NV00487
The cooperation challenge of economics and the protection of water supplies : A case study of the New York City watershed collaboration / Joan Hoffman, ,"Hoffman, Joan", ,Real Estate,"USA. : Routledge, 2010",NV00488
Environmental economics and natural resource management. Third edition / David A. Anderson, ,"Anderson, David A.", ,Real Estate,"USA. : Routledge, 2010",NV00489
Water resources management in the People's Republic of China / Sun Xuetao, ,"Sun, Xuetao","Robert Speed;""Dajun Shen""",Real Estate,"USA. : Routledge, 2010",NV00490
The elgar companion to law and economics / Jurgen G. Backhaus, ,"Backhaus, Jurgen G.", ,Economics,"E. : Edward elgar, 1999",NV00713
Vietnam and the rule of law / Carlyle A. Thayer, ,"Thayer, Carlyle A.",David G. Marr,Law,"Austrialian. : Panther Publishing, 1993",NV06616
The law / Frederic Bastiat, ,"Bastiat, Frederic", ,Law,"USA. : Liberty Institute, 2006",NV06617
Law on value - Added tax and related documents, , , ,Law,"Hà N?i : The gioi Publisher, 1999",NV06618
CyberLaw: Text and cases / Gerald R. Ferrera, ,"Ferrera, Gerald R.","Margo E. K. Reder;""Robert Bird""",Law,"USA. : South – Westerm Cengage Learning, 2004",NV00714
Essentials of bussiness law / Jeffrey F. Beatty, ,"Beatty, Jeffrey F.",Susan S. Samuelson,Law,"USA. : South – Westerm Cengage Learning, 2008",NV00715
"International business law: Text, cases, and readings / Ray A. August", ,"August, Ray A.","Don Mayer, Michael Bixby",Law,"USA. : Pearson Prentice Hall, 2009",NV00716
"A trip too far: Ecotourism, politics and exploitation / Rosaleen Duffy", ,"Duffy, Rosaleen", ,Tourist Hotel,"E. : Earthscan Publications Ltd, 2002",NV00072
"Tourism and politics: Policy, power and place / Colin Michael Hall", ,"Hall, Colin Michael", ,Tourist Hotel,"USA. : John Wiley & Sons, 1994",NV00073
Economics of sustainable tourism / Fabio Cerina, ,"Cerina, Fabio","Anil Markandya;""Michael McAleer""",Tourist Hotel,"USA. : Routledge, 2011",NV00074
Management & marketing 2010, , , ,Marketing,"USA. : McGraw - Hill/ Education, 2010",NV06624
"The new development paradigm: Papers on Institutions, NGOs, Gender and local Government / S. Akbar Zaidi", ,S. Akbar Zaidi, ,Social political,"Pakistan. : Oxford university press, 1999",NV00528
Leapfrogging development?: The political economy of telecommunications restructuring / J. P. Singh, ,J. P. Singh, ,Economics,"USA. : State University Press, 1999",NV00530
Aid and power: The World Bank and policy-based lending: Volume II: Case studies / Paul Mosley, ,"Mosley, Paul","Jane Harrington;""John Toye""",Finance and Banking,"E. : Routledge, 1991","NV00532;""NV06583"""
The review of economic performance and social Progress: The longest decade : Canada in the 1990s / Keith Banting, ,"Banting, Keith","Andrew Sharpe;""France St-Hilaire""",Economics,"Canada : The institute for research on public policy, 2001",NV00534
Contraints and impacts of privatization / V. V. Ramanadham, ,V. V. Ramanadham, ,Economics,"E. : Routledge, 1993",NV00535
Economic stabilization and debt in developing countries / Richard N. Cooper, ,"Cooper, Richard N.", ,Economics,"USA. : The MIT Press, 2007",NV00537
Japan economic development : Theory and practice / Penelope Francks, ,"Francks, Penelope", ,Economics,"E. : Routledge, 1992",NV00538
The history of development from Western Origin to global faith / Gilbert Rist, ,"Rist, Gilbert", ,Economics,"UK. : Zed Book, 1997",NV00539
Behind East Asian growth: The political and social foundtions of prosperity / Henry S. Rowen, ,"Rowen, Henry S.", ,Economics,"E. : Routledge, 1998",NV00540
Global competition and local networks / Rod B. McNaughton, ,"McNaughton, Rod B.",Milford B. Green,Economics,"E. : Ashgate, 2002",NV00541
Going global: Transforming relief and development NGOs / Marc Lindenberg, ,"Lindenberg, Marc",Coralie Bryant,Economics,"USA. : Kumarian Press Inc, 2001",NV00544
Depoliticizing development: The World Bank and social capital / John Harriss, ,"Harriss, John", ,Economics,"E. : Anthem Press, 2001",NV00545
Aspects of transition to market economics in Easterm Europe / Ulrich Thiessen, ,"Thiessen, Ulrich", ,Economics,"E. : Avebury, 1994",NV00546
Capacity for development: New solutions to old problems / Sakiko Fukuda-Parr, ,Sakiko Fukuda-Parr,"Carlos Lopes;""Khalid Malik""",Business Administration,"UK. : Earthscan Publications Ltd, 2002",NV06584
Organisations and development strategies. Structures and processes / Reidar Dale, ,"Dale, Reidar", ,Economics,"USA. : Sage publications, 2000",NV00547
"The rocky road to reform: Adjustment, income distribution, and growth in the developing world / Lance Taylor", ,"Taylor, Lance", ,Economics,"USA. : The MIT Press, 1993",NV00548
Globalization the third world state and poverty-alleviation in the twenty-first century / Bernard Ikubolajeh Logan, ,"Logan, Bernard Ikubolajeh", ,Economics,"E. : Ashgate, 2002",NV00549
"Globalization, marginalization and development / S. Mansoob Murshed", ,"Murshed, S. Mansoob", ,Economics,"E. : Routledge, 2002",NV00550
Models of development: A comparative study of economic growth in South Korea and Taiwan / Lawrence J. Lau, ,"Lau, Lawrence J.", ,Economics,"USA. : ICS Press, 1990",NV00551
Foreign aid and development lessons learnt and directions for the future / Finn Tarp, ,"Tarp, Finn", ,Economics,"E. : Routledge, 2000",NV00552
"Rostow, Kennedy, and the rhetoric of foreign aid / Kimber Charles Pearce", ,"Pearce, Kimber Charles", ,Social political,"USA. : Michigan State University Press, 2001",NV00553
Evaluating programme aid. Volume I - Conceptual issues / Howard White, ,"White, Howard", ,Social political,"Swedish. : Institute of Social Studies, 1996",NV06585
"Society, state and market: A guide to competing theories of development / John Martinussen", ,"Martinussen, John", ,Business Administration,"UK. : Zedwood Book Ltd, 1997",NV06588
The role of government in East Asian economic development: Comparative institutional analysis / Masahiko Aoki, ,Masahiko Aoki,"Hyung-Ki Kim;""Masahiro Okuno-Fujiwara""",Economics,"E. : Clarendon Press, 1996",NV00556
Debt relief and growth / Jean-Claude Berthélemy, ,"Berthélemy, Jean-Claude",Ann Vourc'h,Finance and Banking,"France. : Development centre of the Organization for Economic Co-Operation and Development, 1994",NV06589
Does aid work?: Report to an intergovernmental task force / Robert Cassen, ,"Cassen, Robert",Associates,Economics,"E. : Clarendon Press, 1994","NV00531;""NV00557"";""NV06590"""
The political economy of development policy change / Gustav Ranis, ,"Ranis, Gustav",Syed Akhtar Mahmood,Economics,"USA. : Blackweel, 1992",NV00558
Development policy and planning: An introduction to models and techniques / Anis Chowdhury, ,"Chowdhury, Anis",Colin Kirkpatrick,Economics,"E. : Routledge, 1994",NV00561
Socialist planning / Michael Ellman, ,"Ellman, Michael", ,Economics,"E. : Cambridge University Press, 1989",NV06591
Economic growth in the Asia Pacific region / James H. Gapinski, ,"Gapinski, James H.", ,Economics,"USA. : Macmillan press Ltd, 1999",NV00563
Economic growth and the balance of payments constraint / J.S.L. McCombie, ,"McCombie, J.S.L.",A. P. Thirlwall,Economics,"E. : St.Martin's Press, 1994",NV00564
Globalization and the Third World / Ray Kiely, ,"Kiely, Ray",Phil Marfleet,Economics,"E. : Routledge, 1998",NV00565
Economic and social development in Pacific Asia / Chris Dixon, ,"Dixon, Chris",David Drakakis Smith,Economics,"E. : Routledge, 1993",NV00566
Privatisation and regulation: A review of the issues / Peter M. Jacson, ,"Jacson, Peter M.",Catherine M. Price,Business Administration,"USA. : Longman, 1994",NV06592
Latin American theories of development and underdevelopment / Cristóbal Kay, ,"Kay, Cristóbal", ,Economics,"E. : Routledge, 1989",NV00568
Aid and reform in Africa: Lessons from ten case studies / Shantayanan Devarajan, ,"Devarajan, Shantayanan","David Dollar;""Torgny Holmgren""",Economics,"USA. : The World Bank, 2001","NV00569;""NV06593"""
Aid and the political economy of policy change / Tony Killick, ,"Killick, Tony", ,Economics,"E. : Routledge, 1998",NV00570
"Economic development, growth and welfare / Charles Smith", ,"Smith, Charles", ,Economics,"HongKong. : Macmillan press, 1994",NV00571
"R&D, education, and productivity: A retrospective / Zvi Griliches", ,"Griliches, Zvi", ,Economics,"USA. : Harvard University Press, 2000",NV00572
Communities and markets in economic development / Masahiko Aoki, ,"Aoki, Masahiko", ,Educational culture,"USA. : Oxford university press, 2001",NV06595
Development as process: Concepts and methods for working with complexity / David Mosse, ,"Mosse, David","John Farrington;""Alan Rew""",Economics,"E. : Routledge, 1998",NV00573
Programme aid and development: Beyond conditionality / Howard White, ,"White, Howard",Geske Dijkstra,Economics,"E. : Routledge, 2003",NV00574
Compassion and calculation: The business of private foreign aid / David Sogge, ,"Sogge, David", ,Economics,"E. : Pluto Press, 1996",NV00575
"What works, what doesn't, and why / Assessing Aid", ,"Aid, Assessing", ,Social political,"USA. : Oxford university press, 1998",NV06597
"Institutions, social norms, and economic development / Jean Philippe Platteau", ,"Platteau, Jean Philippe", ,Economics,"Singapore. : Harwood academic publishers, 2000",NV00576
Developing best pracieces for promoting private sector investment in infrastructure / Roads, ,Roads, ,Social political,"Philippines. : Asian development bank, 2000",NV06598
Surveys in development economics / Norman Gemmell, ,"Gemmell, Norman", ,Economics,"E. : Basil Blackwell, 1987",NV00577
Economic progress and prospects in the Third World: Lessons of development experience since 1945 / H. W. Singer, ,"Singer, H. W.", ,Economics,"USA. : Edward elgar, 1993",NV00579
Dilemmas of development: Reflections on the counter - Revolution in development economics / John Toye, ,"Toye, John", ,Economics,"E. : Blackwell, 1993",NV00581
New perspectives on economic growth and technological innovation / F. M. Scherer, ,"Scherer, F. M.", ,Economics,"USA. : Brookings Institutution Press, 1999",NV00582
"Technology, market structure and internationalization - Issues and policies for developing countries / Nagesh Kumar", ,"Kumar, Nagesh",N. S. Siddharthan,Economics,"E. : Routledge, 1997",NV00583
The business of Japanese foreign aid: Five case studies from Asia / Marie Soderberg, ,"Soderberg, Marie", ,Economics,"E. : Routledge, 1996",NV00584
New generic technologies in developing countries / M. R. Bhagavan, ,"Bhagavan, M. R.", ,Economics,"E. : Macmillan press Ltd, 1997",NV00585
Compassion and calculation: The business of private foreign aid / David Sogge, ,"Sogge, David","Kees Biekart;""John Saxby""",Business Administration,"USA. : Pluto Press, 1996",NV06599
Aid and political conditionality / Olav Stokke, ,"Stokke, Olav", ,Economics,"E. : Frank Cass, 1995",NV00586
The foreign aid business economic assistance and development Co-operation / Kunibert Raffer, ,"Raffer, Kunibert",H. W. Singer,Economics,"E. : Edward elgar, 1996",NV00587
"Technology and developing countries: Practical application, theoretical issues / Richar Heeks", ,"Heeks, Richar","Prabhakara Bhatt;""Mozammel Hug""",Economics,"E. : Frank Cass, 1995",NV00588
"Manufacturing, technology, and economic growth / Carlos Sabillon", ,"Sabillon, Carlos", ,Economics,"USA. : M. E. Sharpe, 2000",NV00589
State and economic development: A comparative historical analysis / Linda Wiess, ,"Wiess, Linda",John M. Hobson,Economics,"E. : Polity press, 1999",NV00590
Privatization in central & Eastern Europe 1993 / Andteja Bohm, ,Andteja Bohm,Marko Simoneti,Social political,"Slovenia. : C.E.E.P.N, 1994",NV06600
"A leap of faith: A story of Swedish aid and paper production in Vietnam -- The Bai Bang project, 1969-1996 / Aif Morten", ,"Morten, Aif",Irene Norlund,Social political,"Swedish. : SICA, 1999","NV06542;""NV06601"""
Climbing the development ladder with NGO support: Experiences of rural people in Pakistan / Mahmood Hasan Khan, ,"Khan, Mahmood Hasan", ,Educational culture,"Pakistan. : Ameena Saiyid, 1998",NV00594
Geographies of development / Robert B. Potter, ,"Potter, Robert B.","Tony Binns;""Jennifer A. Elliott""",Economics,"Singapore. : Long-man, 1999",NV06602
Institutional incentives and sustainable development - Infrastructure policies in perspective / Elinor Ostrom, ,"Ostrom, Elinor","Larry Schroeder;""Susan Wynne""",Economics,"USA. : Westview press, 1993",NV00596
Victims of development: Resistance and alternatives / Jeremy Seabrook, ,"Seabrook, Jeremy", ,Economics,"E. : Verso, 1993",NV06604
"NGOs, state and donors: Too close for comfort? / David Hubme", ,"Hubme, David",Micchael Edwards,Economics,"USA. : Martin's Press, 1997",NV00599
"Democracy and development: Proceeding of the IEA conference help in Barcelona, Spain / Amiya Kumar Bagchi", ,Amiya Kumar Bagchi, ,Social political,"E. : Macmillan press, 1991",NV00600
Aid and power: The World Bank and policy - based lending. Volume I: Analysis and policy proposals / Paul Mosley, ,"Mosley, Paul","Jane Harrigan;""John Toye""",Finance and Banking,"E. : Routledge, 1991",NV00601
"Development and underdevelopment in historical perspective. Populism, Nationalism and industrialization (Revised edition) / Gavin Kitching", ,Gavin Kitching, ,Educational culture,"E. : Routledge, 1990",NV00593
Economic restructuring in East Asia and India: Perspective on policy reform / Timothy M. Shaw, ,"Shaw, Timothy M.", ,Economics,"E. : Macmillan press Ltd, 1995",NV00128
"Microeconomics for business and marketing: Lectures, cases and worked essays / Peter E. Earl", ,"Earl, Peter E.", ,Business Administration,"E. : Edward Elgar Publishing Ltd, 1995",NV06505
From plan To market: The economic transition in Vietnam / Adam Fforde, ,"Fforde, Adam",Stefan De Vylder,Economics,"USA. : Westview press, 1996",NV00129
Vietnam joins the World / James W. Morley, ,James W. Morley,Masashi Nishihara,Social political,"USA. : M. E. Sharpe Inc, 1997",NV00130
EADN regional project on indicators and analyses of vulnerabilities to economic crises / Chalongphob Sussangkarn, ,Chalongphob Sussangkarn, ,Social political,"Thailand. : Thailand Development Research Institude, 2003",NV06506
Information and organization: A new perpective on the theory of the firm / Mark Casson, ,"Casson, Mark", ,Economics,"USA. : Oxford University Press Inc, 1997",NV00131
Growth of the international economy 1820-2000: An introductory text / A.G. Kenwood, ,"Kenwood, A.G.",A.L. Lougheed,Economics,"USA. : George Allen & Unwin Ltd, 1992",NV00133
"Knowledge capital and the New Economy"": Firm size, performance and network production / Pontus Braunerhjelm""", ,"Braunerhjelm, Pontus", ,Economics,"USA. : Kluwer Academic Publisher, 2000",NV00134
A Not-so-dismal science: A broader view of economies and societies / Mancur Olson, ,"Olson, Mancur",Satu Kähkönen,Economics,"USA. : Oxford university press, 2000",NV00135
Evolutionary economics and creative destruction / J. Stanley Metcalfe, ,"Metcalfe, J. Stanley", ,Economics,"E. : Routledge, 1998",NV00138
"A working nation: Workers, work, and government in the new economy / David T. Ellwood", ,David T. Ellwood,"Rebecca M. Blank;""Joseph Blasi""",Labor economics,"USA. : Russell Sage Foundation, 2000",NV06511
The economics of post-communist transition / Olivier Blanchard, ,"Blanchard, Olivier", ,Economics,"USA. : Oxford university press, 1997",NV00139
Adjusting privatization: Case studies from developing countries / Christopher Adam, ,"Adam, Christopher","William Cavendish;""Percy S. Mistry""",Economics,"E. : Ian Randle Publishers Ltd, 1992",NV00140
Why do governments divest?: The macroeconomics of privatization / Alfred Schipke, ,"Schipke, Alfred", ,Economics,"Germany. : Spriger, 2001",NV00141
Development strategy and management of the market economy. Volume I (Development Strategy & Management of the Market Economy) / Edmond Malinvaud, ,"Malinvaud, Edmond","Jean-Claude Milleron;""Mustapha Nabli""",Economics,"USA. : Oxford university press, 1997",NV00142
Development strategy and management of the market economy - Volume II: Developmen / Istvan P, ,"P, Istvan",Richard Sabot,Economics,"USA. : Oxford university press, 1997",NV00143
Pinochet's economists: The Chicago School of Economics in Chile / Juan Gabriel Valdes, ,"Valdes, Juan Gabriel", ,Economics,"USA. : Cambridge University Press, 1995",NV00144
"Democracy, governance, and economic performance: East and Southeast Asia / Ian Marsh", ,"Marsh, Ian","Jean Blondel;""Takashi Inoguchi""",Economics,"USA. : United Nations University Press, 1999",NV00145
Mastering the infinite game: How East Asian values are transforming business practices / Charles Hampden-Turner, ,"Hampden-Turner, Charles",Fons Trompenaars,Business Administration,"UK. : Capstone Publishing Limited, 1997",NV00146
On economic institutions: Theory and applications / John Groenewegen, ,"Groenewegen, John","Christos Pitelis;""Sven-Erik Sjostrand""",Economics,"E. : Edward elgar, 1995",NV06512
"Global transformations: Politics, economics, and culture / David Held", ,"Held, David","Anthony McGrew;""David Goldblatt""",Educational culture,"USA. : Stanford University press, 1999",NV00147
Infrastructure and the complexity of economic development / David F. Batten, ,"Batten, David F.",C. Karlsson,Natural Sciences and Technology,"Germany. : Spriger, 1995",NV00148
"The Market Panacea"": Agrarian transformation in developing countries and former socialist economies / Max Spoor""", ,"Spoor, Max", ,Economics,"UK. : Intermediate Technology Publications, 1997",NV00149
"Institutions, institutional change and economic performance / Douglass C. North", ,"North, Douglass C.", ,Economics,"USA. : Cambridge University Press, 1990",NV00150
New directions in economic methodology / Roger E. Backhouse, ,"Backhouse, Roger E.", ,Educational culture,"E. : Routledge, 1994",NV00151
Economics and world history / Paul Bairoch, ,"Bairoch, Paul", ,Economics,"E. : Harvester Wheatsheaf, 1993",NV00153
Africa's recovery in the 1990s: From stagnation and adjustment to human development / Giovanni Andrea Cornia, ,"Cornia, Giovanni Andrea","Rolph Van Der Hoeven;""Thandika Mkandawire""",Economics,"USA. : M. ST.Martin's Press, 1992",NV00158
"The Asia crisis: The cures, their effectiveness and the prospects after / Tran Van Hoa", ,"Tran, Van Hoa", ,Finance and Banking,"USA. : St.Martin's Press, 2000","NV00159;""NV00213"""
Evaluating economic liberalization : Case-studies in economic development. Volume 4 / Mark McGillivray, ,"McGillivray, Mark",Oliver Morrissey,Economics,"USA. : St.Martin's Press, 1991",NV06516
Foundations of business economics: Markets and prices / Harry Townsend, ,"Townsend, Harry", ,Economics,"USA. : Routledge, 1995",NV00160
Building a prosperous Southeast Asia / Yoshihara Kunio, ,"Kunio, Yoshihara", ,Economics,"Malaysia. : Vinlin Press Sdn Bhn, 1999",NV00161
A Future perfect: The challenge and promise of globalization / John Micklethwait, ,"Micklethwait, John",Adrian Wooldridge,Educational culture,"USA. : Crown Business, 2000",NV06518
Research observer / The World Bank, ,The World Bank, ,Economics,"USA., 2002",NV06519
Reform and recovery in East Asia: The role of the state and economic enterprise / Peter Drysdale, ,"Drysdale, Peter", ,Economics,"E. : Routledge, 2000",NV00163
The New Institutional Economics and Third World development / John Harris, ,"Harris, John","Janet Hunter;""Colin M. Lewis""",Economics,"USA. : Routledge, 1995",NV00164
From state to market?: The transformation of French Business and Government / Vivien A. Schmidt, ,"Schmidt, Vivien A.", ,Business Administration,"USA. : Cambridge University Press, 1996",NV06520
"Recasting egalitarianism: New rules for communities, states and markets. The Real Utopia Project - Volume III / Erik Olin Wright", ,"Wright, Erik Olin", ,Economics,"USA. : Verso, 1998",NV00165
Economic freedom of the World: 1975-1995 / James D. Gwartney, ,"Gwartney, James D.","Robert Lawson;""Walter Block""",Economics,"Canada : The Fraser Institute, 1996",NV00166
The return of depression economics / Paul Krugman, ,"Krugman, Paul", ,Economics,"E. : Allen Lane the Penguin Press, 1999",NV00167
The move to the market?: Trade and industry policy reform in transitional economies / Paul Cook, ,"Cook, Paul",Frederick Nixson,Business Administration,"USA. : M. ST.Martin's Press, 1995",NV06521
Global shift: Transforming the World Economy / Peter Dicken, ,"Dicken, Peter", ,Economics,"E. : Paul Chapman Publish Ltd, 1998",NV00168
Privatisation: A global perspective / V. V. Ramanadham, ,"Ramanadham, V. V.", ,Business Administration,"E. : Routledge, 1993",NV06522
"Structural adjustment, global trade and the new political economy of development / Biplab Dasgupta", ,"Dasgupta, Biplab", ,Commerce,"USA. : Zed Books, 1998",NV00169
"The long twentieth century: Money, power and the origins of our times / Giovanni Arrighi", ,"Arrighi, Giovanni", ,Economics,"USA. : Verso, 1994",NV00170
The Asian economies in the twentieth century / Angus Maddion, ,"Maddion, Angus","D.S. Prasada Rao;""William F. Shepherd""",Economics,"E. : Edward elgar, 2002",NV06523
Economic policy and manufacturing performance in developing countries / Oliver Morrissey, ,"Morrissey, Oliver",Michael A. Tribe,Economics,"E. : Edward elgar, 2001",NV06524
Capitalism & development / Leslie Sklair, ,"Sklair, Leslie", ,Economics,"E. : Routledge, 1994","NV00173;""NV06525"""
Capitalism and the Information age: The political economy of the global communication revolution / Robert D. McChesney, ,"McChesney, Robert D.","Ellen Meiksins Wood;""John Bellamy Foster""",Educational culture,"USA. : Monthly review press, 1998",NV06526
Going global: Transition from plan to market in the world economy / Padma Desai, ,"Desai, Padma", ,Economics,"USA. : The MIT Press, 1997",NV00176
Globalization and progressive economic policy / Dean Baker, ,"Baker, Dean","Gerald Epstein;""Robert Pollin""",Economics,"E. : Cambridge University Press, 1998",NV06527
The emergence of market economies in Eastern Europe / Christopher Clague, ,"Clague, Christopher",Gordon C. Rausser,Economics,"USA. : Blackweel Publishers, 1992",NV06528
"Socialism, capitalism, transformation / Leszek Balcerowicz", ,"Balcerowicz, Leszek", ,Economics,"E. : CEU Press, 1995",NV00178
Paradoxes of prosperity: Why the new capitalism benefits all / Diane Coyle, ,Diane Coyle, ,Educational culture,"USA. : Texere, 2001",NV06529
Highway and byways: Studies on reform and postcommunist transition / János Kornai, ,"Kornai, János", ,Economics,"USA. : The MIT Press, 2007",NV00179
"Crisis, stabilization, and economic reform / Michael Bruno", ,"Bruno, Michael", ,Business Administration,"E. : Clarendon Press, 1993",NV06530
Institutions and the evolution of capitalism: Implications of evolutionary economics / John Groenewegen, ,"Groenewegen, John",Jack J. Vromen,Economics,"USA. : Blackweel, 1999","NV00181;""NV06531"""
Winds of change: Economic transition in central and Eastern Europe / Daniel Gros, ,"Gros, Daniel",Alfred Steinherr,Economics,"Singapore. : Long-man, 1995",NV00184
The Golden Age illusion: Rethinking oostwar capitalism / Michael J. Webber, ,"Webber, Michael J.",David L. Rigby,Economics,"USA. : The Guilford Press, 1996",NV00186
Capital and entrepreneurship in South-East Asia / Rajeswary Ampalavanar Brown, ,"Brown, Rajeswary Ampalavanar", ,Economics,"USA. : Martin's Press, 1994",NV00187
Economic reforms in new democracies: A social - democratic approach / Luiz Carlos Bresser Pereira, ,"Pereira, Luiz Carlos Bresser","José María Maravall;""Adam Przeworski""",Economics,"USA. : Cambridge, 1993",NV00189
