Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??,Thông tin xu?t b?n,Barcode
Ngày 18 tháng s??ng mù c?a Lui-Bô-Na-Pac-t? / Mác C., ,"Mác, C.", ,"Mác;""Kinh ?i?n""","Hà N?i : S? th?t, 1961",Vc 7588
Ngu?n g?c c?a gia ?ình c?a ch? ?? t? h?u và c?a Nhà n??c / ?nghen Ph., ,"?ngghen, Ph.", ,"Ch? ?? t? h?u;""Kinh ?i?n"";""Ngu?n g?c gia ?ình"";""?nghen""","Hà N?i : S? th?t, 1961",Vc 7701
??u tranh giai c?p ? Pháp / Mác C., ,"Mác, C.", ,"??u tranh giai c?p;""Kinh ?i?n"";""Mác"";""Pháp""","Hà N?i : S? th?t, 1961",Vc 7929
Bàn v? chi?n tranh nhân dân / ?nghen Ph., ,"?ngghen, Ph.","Lênin, V.I;""Stalin, I.""","Chi?n tranh nhân dân;""Kinh ?i?n"";""Lênin"";""Stalin"";""?nghen""","Hà N?i : S? th?t, 1964",Vc 7991
Ch? ngh?a Mác và v?n ?? gi?i phóng ph? n? / Mác C., ,"Mác, C.", ,"Ch? ngh?a Mác;""Gi?i phóng ph? n?"";""Kinh ?i?n"";""Mác""","Hà N?i : Ph? n?, 1962",Vc 8039
M?t s? th? v? ch? ngh?a duy v?t l?ch s? / Mác C., ,"Mác, C.","?nghen, Ph.","Ch? ngh?a duy v?t l?ch s?;""Kinh ?i?n"";""Mác"";""Tri?t h?c"";""?nghen""","Hà N?i : S? th?t, 1962",Vc 8058
Bàn v? ngôn ng? / Mác C., ,"Mác, C.","?nghen, Ph.;""Lênin, V.I""","?nghen;""Mác"";""Ngôn ng?"";""Kinh ?i?n"";""Lênin""","Hà N?i : S? th?t, 1962",Vc 8340
B?n th?o kinh t? tri?t h?c n?m 1844 / Mác C., ,"Mác, C.", ,"Kinh t? tri?t h?c;""Kinh ?i?n"";""Mác""","Hà N?i : S? th?t, 1962",Vc 8371
Tình c?nh giai c?p công nhân Anh 1 / ?nghen Ph., ,"?ngghen, Ph.", ,"Giai c?p công nhân Anh;""Kinh ?i?n""","Hà N?i : S? h?c, 1962",Vc 8914
"Tài chính hành vi - Nhà ??u t?, doanh nghi?p và th? tr??ng / H. Kent Baker", ,Kent Baker H.,"Lê, ??t Chí;""Tr?n, Th? H?i Lý"";""Phan, Th? Bích Nguy?t""","Ngân hàng - Tài chính;""Tài chính hành vi""","Tp. H? Chí Minh : Kinh t?, 2012","VV00002649;""VV00002648"";""VV00002647"";""VV00002646"";""VV00002645"";""VV00002644"";""VV00002643"";""VV00002642"";""VV00002641"";""VV00002640"";""VV00002639"";""VV00002638"";""VV00002637"";""VV00002636"";""VV00002635"";""VV00002634"";""VV00002633"""
Tình c?nh giai c?p công nhân Anh 2 / ?nghen Ph., ,"?ngghen, Ph.", ,"Giai c?p công nhân Anh;""Kinh ?i?n""","Hà N?i : S? th?t, 1962",Vc 8940
Nguyên lý ti?p th? / Philip Kotler, ,Kotler Philip,"Gary Armstrong;""L?i, H?ng Vân"";""Kim Ph??ng"";""L?i, H?ng Vân""","Marketing;""Nguyên lý ti?p th?""","Hà N?i : Lao ??ng xã h?i, 2011","Va/92 6839;""VV00001048"";""VV00001047"";""VV00001046"";""VV00001045"";""VV00001044"";""VV00001043"";""VV00001042"";""VV00001041"";""VV00001049"";""VV00001039"";""VV00001038"";""VV00001037"";""VV00001036"";""VV00001035"";""VV00001034"";""VV00001033"";""VV00001040"""
Qu?n tr? doanh nghi?p - Lý thuy?t nghiên c?u và th?c hành / H. Kent Baker, ,"Baker,  H. Kent","Lê, ??t Chí;""Nguy?n, Minh Ng?c"";""Tr?n, Th? H?i Lý"";""Jonald Anderson""","Kinh t? doanh nghi?p;""Qu?n tr? doanh nghi?p"";""Lý thuy?t"";""Nghiên c?u"";""Th?c hành""","Tp. H? Chí Minh : Kinh t?, 2012","VV00004709;""VV00004708"";""VV00004707"";""VV00004706"";""VV00004705"";""VV00004704"";""VV00004703"";""VV00004702"";""VV00004701"";""VV00004700"";""VV00004699"";""VV00004698"";""VV00004697"";""VV00004696"";""VV00004695"";""VV00004694"";""VV00004693"";""VV00004692"";""VV00004691"""
Qu?n tr? r?i ro trong ngân hàng / Joel Bessis, ,Bessis Joel,"?inh, Th? Hi?u;""Tr?n, Hoàng Ngân"";""Nguy?n, Thanh Huy?n""","Ngân hàng - Tài chính;""Qu?n tr? r?i ro""","Hà N?i : Lao ??ng xã h?i, 2012","Va/92 6889;""VV00002664"";""VV00002663"";""VV00002662"";""VV00002661"";""VV00002660"";""VV00002659"";""VV00002658"";""VV00002720"";""VV00002656"";""VV00002655"";""VV00002654"";""VV00002653"";""VV00002652"";""VV00002651"";""VV00002650"";""VV00002657"""
"K? n?ng so?n th?o v?n b?n, quy ch?, công tác v?n th?. 301 m?u v?n b?n qu?n lý và ?i?u hành trong doanh nghi?p, ??n v? hành chính s? nghi?p và chính quy?n ??a ph??ng", , , ,"Khoa h?c qu?n lý;""So?n th?o v?n b?n"";""Công tác v?n th?""","Hà N?i : Lao ??ng xã h?i, 2012","VV00007881;""VV00007880"""
"Quy ??nh m?i nh?t v? s? ph?t vi ph?m hành chính trong l?nh v?c qu?n lý, s? d?ng tài s?n Nhà n??c (theo quy ??nh s? 66/2012/N?-CP ngày 06-09-2012 c?a chính ph? quy ??nh v? x? ph?t vi ph?m hành chính trong l?nh v?c qu?n lý, s? d?ng tài s?n Nhà n??c) / Thùy Linh", ,Thùy Linh,Vi?t Trinh,"Lu?t;""X? ph?t hành chính"";""Qu?n lý tài s?n"";""S? d?ng tài s?n""","Hà N?i : Tài chính, 2012","VV00014015;""VV00014014"""
H??ng d?n nghi?p v? phòng ch?ng t?i ph?m tr?m c??p tài s?n công dân các th? ?o?n c?a t?i ph?m & hình ph?t c?a pháp lu?t. (s?u t?m và h? th?ng hóa) / Thùy Linh, ,Thùy Linh,Vi?t Trinh,"Lu?t;""Phòng ch?ng t?i ph?m"";""Th? ?o?n c?a t?i ph?m"";""Hình ph?t c?a pháp lu?t""","Hà N?i : Dân trí, 2012",VV00014016
B? sách xây d?ng k? ho?ch Marketing hoàn h?o (Dành riêng cho doanh nghi?p VN). T?p1: N?n t?ng Marketing. H??ng d?n nh?ng công vi?c thi?t y?u ?? xây d?ng k? ho?ch Marketing / Nguy?n Hoàng Ph??ng, ,"Nguy?n, Hoàng Ph??ng", ,"Marketing;""K? ho?ch marketing"";""Doanh nghi?p""","Hà N?i : Thông tin và Truy?n thông, 2012","VV00001053;""VV00001052"";""VV00001051"";""VV00001050"""
B? sách xây d?ng k? ho?ch Marketing hoàn h?o (Dành riêng cho doanh nghi?p Vi?t nam). T?p 2: L?p k? ho?ch Marketing / Nguy?n Hoàng Ph??ng, ,"Nguy?n, Hoàng Ph??ng", ,"Marketing;""K? ho?ch marketing"";""Doanh nghi?p""","Hà N?i : Thông tin và Truy?n thông, 2012","VV00001057;""VV00001056"";""VV00001055"";""VV00001054"""
B? sách xây d?ng k? ho?ch Marketing hoàn h?o (dành riêng cho doanh nghi?p Vi?t nam). T?p 3: Th?c hi?n và ?ánh giá k? ho?ch marketing / Nguy?n Hoàng Ph??ng, ,"Nguy?n, Hoàng Ph??ng", ,"Marketing;""Marketing"";""K? ho?ch marketing"";""Doanh nghi?p""","Hà N?i : Thông tin và Truy?n thông, 2011","Va/92 6914;""Va/92 6911"";""Va/92 6912"";""Va/92 6913"""
Xu?t nh?p kh?u hàng hóa - International merchandise trade Vietnam 2010, , , ,"Th?ng kê kinh t?;""Xu?t kh?u"";""Nh?p kh?u"";""Th?ng kê kinh t? kinh t?"";""Th?ng kê kinh t? kinh t?""","Hà N?i : Th?ng kê, 2012","VV00006653;""VV00006652"""
"Lu?t qu?n lý thu?, chính sách thu? 2012 và các v?n b?n h??ng d?n thi hành m?i nh?t (Áp d?ng t? 01-07-2012)", , , ,"Thu?;""Lu?t thu?"";""Chính sách thu?"";""2012""","Hà N?i : Tài chính, 2012","Va/92 6923;""Va/92 6921"";""Va/92 6922"""
Phép bi?n ch?ng duy v?t / Mác C., ,"Mác, C.","?nghen, Ph.","?nghen;""Kinh ?i?n"";""Mác"";""Bi?n ch?ng duy v?t"";""Tri?t h?c""","Hà N?i : S? th?t, 1962","Vc 9000;""Vc 9036"""
"B? lu?t lao ??ng m?i 2012 (có hi?u l?c t? 01-05-2013) chính sách ti?n l??ng, ti?n công, b?o hi?m xã h?i, ngh? h?u, thai s?n, làm thêm gi?, ký k?t h?p ??ng lao ??ng", , , ,"Lu?t;""Lu?t lao ??ng""","Hà N?i : Lao ??ng, 2012","VV00014011;""VV00014010"""
Lu?t x? lý vi ph?m hành chính 2012 và các quy ??nh x? ph?t vi ph?m hành chính m?i nh?t, , , ,"Lu?t;""Lu?t x? lý vi ph?m hành chính"";""Quy ??nh x? ph?t hành chính""","Hà N?i : Lao ??ng, 2012","Va/92 6928;""Va/92 6927"""
Tra c?u b? lu?t t? t?ng hình s? n?m (2003-2012) và các v?n b?n h??ng d?n thi hành, , , ,"Lu?t;""Lu?t t? t?ng hình s?"";""V?n b?n h??ng d?n""","Hà N?i : VhTT, 2012",VV00014009
Tra c?u b? lu?t hình s? n?m (1999-2012) và các v?n b?n h??ng d?n thi hành, , , ,"Lu?t;""Lu?t hình s?"";""V?n b?n h??ng d?n""","Hà N?i : VhTT, 2012",VV00014008
"H??ng d?n xây d?ng d? toán ngân sách Nhà n??c 2013 và các quy ch? qu?n lý tài chính, k? toán m?i trong các c? quan hành chính s? nghi?p", , , ,"Ngân hàng - Tài chính;""D? toán ngân sách nhà n??c"";""Qu?n lý tài chính"";""Qu?n lý k? toán"";""C? quan hành chính""","Hà N?i : Lao ??ng, 2012","VV00002581;""VV00002580"";""VV00002579"";""VV00002578"""
"Bàn v? ti?n t?, tín d?ng và ngân hàng / Mác C.", ,"Mác, C.","Lênin, V.I;""?nghen, Ph.""","Kinh ?i?n;""Lênin"";""Mác"";""Ngân hàng"";""Ti?n t?"";""Tín d?ng"";""?nghen""","Hà N?i : S? th?t, 1963",Vc 9231
Nh?ng k? n?ng nghi?p v? quan tr?ng c?n bi?t ??i v?i cán b? ?oàn thanh niên (s?u t?m và h? th?ng hóa) / Thùy Linh, ,Thùy Linh,Vi?t Trinh,"?oàn Thanh niên;""K? n?ng công tác ?oàn"";""Nghi?p v? công tác ?oàn"";""?oàn thanh niên""","Tp. H? Chí Minh : Th?i ??i, 2012","Va/92 6955;""Va/92 6953"";""Va/92 6954"""
Tra c?u b? lu?t t? t?ng hình s? n?m (2004-2012) và các v?n b?n h??ng d?n thi hành, , , ,"Lu?t;""Lu?t t? t?ng dân s?"";""V?n b?n h??ng d?n""","Tp. H? Chí Minh : VhTT, 2012",VV00014012
Tra c?u b? lu?t dân s? n?m (2005-2012) và các v?n b?n h??ng d?n thi hành, , , ,"Lu?t;""Lu?t dân s?"";""V?n b?n h??ng d?n""","Tp. H? Chí Minh : VhTT, 2012",VV00014013
"Tu d??ng, rèn luy?n ??o ??c cách m?ng cho cán b?, ??ng viên hi?n nay và ??i sau theo t? t??ng H? Chí Minh (s?u t?m và h? th?ng hóa) / T?ng Bình", ,T?ng Bình, ,"T? t??ng H? Chí Minh;""??o ??c cách m?ng""","Tp. H? Chí Minh : Th?i ??i, 2012","Va/92 6962;""Va/92 6960"";""Va/92 6961"""
Ch? ngh?a duy v?t l?ch s? / Mác C., ,"Mác, C.","?nghen, Ph.","Ch? ngh?a duy v?t l?ch s?;""Kinh ?i?n"";""Tri?t h?c""","Hà N?i : S? th?t, 1963",Vc 9273
Qu?n tr? chi?n l??c / Hoàng V?n H?i, ,"Hoàng, V?n H?i", ,"Kinh t? doanh nghi?p;""Qu?n tr? chi?n l??c""","Hà N?i : ?HQG, 2012","VV00004672;""VV00004671"";""VV00004670"";""VV00004669"";""VV00004668"";""VV00004667"";""VV00004666"";""VV00004665"";""VV00004664"""
S? thay ??i trong c? c?u c?a c?i c?a các qu?c gia. ?o l??ng s? phát tri?n b?n v?ng trong thiên niên k? m?i, , , ,"Kinh t? môi tr??ng;""Phát tri?n b?n v?ng"";""C? c?u c?a c?i""","Hà N?i : Ngân hàng th? gi?i, 2007","Vb/92 15034;""Vb/92 15035"";""Vb/92 15036"";""Vb/92 15037"";""Vb/92 15038"";""Vb/92 15039"";""Vb/92 15031"";""Vb/92 15032"";""Vb/92 15033"""
Kinh nghi?m v??t qua kh?ng ho?ng / Minh H?i, ,Minh H?i,Thiên Tân,"Kinh t? doanh nghi?p;""Kh?ng ho?ng"";""Doanh nghi?p""","Hà N?i : ?H.KTQD, 2012","VV00004690;""VV00004689"";""VV00004688"";""VV00004687"";""VV00004686"";""VV00004685"";""VV00004684"";""VV00004683"";""VV00004682"""
Niên giám th?ng kê - Statistical yearbook of Vietnam 2011, , , ,"Th?ng kê kinh t?;""Niên giám Th?ng kê kinh t?"";""2011"";""Th?ng kê kinh t? kinh t?"";""Th?ng kê kinh t? kinh t?""","Hà N?i : Th?ng kê, 2012","VV00006665;""VV00006664"";""VV00006663"";""VV00006662"";""VV00006661"";""VV00006660"";""VV00006659"""
Qu?n tr? Marketing / Nguy?n V?n Dung, ,"Nguy?n, V?n Dung","Nguy?n, V?n Trãi;""Nguy?n, V?n Thi""","Marketing;""Qu?n tr?""","Hà N?i : Lao ??ng, 2012","VV00001032;""VV00001031"";""VV00001030"";""VV00001029"""
Th?nh v??ng tài chính tu?i 30. T?p II / Go Deuk Seong, ,Seong Go Deuk,"Mai Hoa;""Nam Khánh, (d?ch)""","Ngân hàng - Tài chính;""Tài chính"";""Bí quy?t thành công""","Hà N?i : Lao ??ng xã h?i, 2012","Vb/92 15096;""VV00002671"";""VV00002670"";""VV00002669"";""VV00002672"";""VV00002667"";""VV00002665"";""VV00002666"";""VV00002668"""
"C?m nang thanh toán qu?c t? và tài tr? ngo?i th??ng UCP 600, URC 522, ISBP 681, Incoterms 2010 /  Nguy?n V?n Ti?n", ,"Nguy?n, V?n Ti?n", ,"Th??ng m?i qu?c t?;""Thanh toán qu?c t?"";""Tài tr? ngo?i th??ng"";""C?m nang""","Hà N?i : Th?ng kê, 2012","VV00010439;""VV00010438"";""VV00010437"";""VV00010436"";""VV00010435"";""VV00010434"";""VV00010433"";""VV00010432"";""VV00010431"""
"Tài chính c?n b?n. Gi?i thi?u v? th? tr??ng tài chính, tài chính doanh nghi?p và qu?n lý danh m?c ??u t? / Pamela Peterson Drake", ,Drake Pamela Peterson,"Frank T. Drake;""Nguy?n, Anh Tú, (d?ch)"";""Lê, ??t Chí, (d?ch)""","Ngân hàng - Tài chính;""Th? tr??ng tài chính"";""Tài chính doanh nghi?p"";""Qu?n lý danh m?c ??u t?""","Tp. H? Chí Minh : Kinh t?, 2012","VV00002592;""VV00002591"";""VV00002590"";""VV00002589"";""VV00002588"";""VV00002587"";""VV00002586"";""VV00002585"";""VV00002584"";""VV00002583"";""VV00002582"""
Tri th?c khách quan. M?t cách ti?p c?n d??i góc ?? ti?n hóa / Karl R. Popper, ,Popper Karl R.,"Chu, Lan ?ình, (d?ch)","Tri?t h?c;""Tri th?c khách quan""","Hà N?i : Tri th?c, 2012","Vb/92 15133;""Vb/92 15134"";""Vb/92 15135"""
"Ngân hàng ?? thi, câu h?i tr?c nghi?m, bài t?p và bài gi?i nguyên lý k? toán (C?p nh?t theo thông t? 244/2009/TT BTC ngày 31/12/2009 và có hi?u l?c k? t? ngày 15/02/2010) / Phan ??c D?ng", ,"Phan, ??c D?ng", ,"K? toán - Ki?m toán;""Ngân hàng ?? thi"";""Nguyên lý k? toán""","Hà N?i : Lao ??ng xã h?i, 2012","VV00003500;""VV00003498"";""VV00003499"""
"Mác, ?nghen, Lênin và chính tr? kinh t? h?c 1 / Mác C.", ,"Mác, C.","Lênin, V.I;""?nghen, Ph.""","Chính tr? kinh t? h?c;""Kinh t? h?c"";""Kinh ?i?n"";""Lênin"";""Mác"";""?nghen""","Hà N?i : S? th?t, 1962",Vc 9562
Các nghi?p v? ngân hàng th??ng m?i trong kinh t? toàn c?u - Các nguyên t?c th?c hành /D??ng H?u H?nh, ,"D??ng, H?u H?nh", ,"Ngân hàng - Tài chính;""Ngân hàng th??ng m?i"";""Nghi?p v? ngân hàng""","Hà N?i : Lao ??ng, 2012","VV00002628;""VV00002627"""
Bài t?p và bài gi?i nghi?p v? ngân hàng trung ??ng (s? d?ng kèm theo giáo trình ngân hàng trung ??ng) / Nguy?n ??ng D?n, ,"Nguy?n, ??ng D?n", ,"Ngân hàng - Tài chính;""Nghi?p v? ngân hàng"";""Ngân hàng trung ??ng""","Hà N?i : Lao ??ng, 2012","VV00002632;""VV00002631"";""VV00002630"";""VV00002629"""
"Ngân hàng ?? thi, câu h?i tr?c nghi?m, bài t?p và bài gi?i k? toán tài chính (C?p nh?t theo thông t? 244/2009/TT-BTC ngày 31/12/2009 và có hi?u l?c k? t? ngày 15/12/2010) / Phan ??c D?ng", ,"Phan, ??c D?ng", ,"K? toán - Ki?m toán;""Ngân hàng ?? thi"";""K? toán tài chính"";""Bài t?p"";""Bài gi?i""","Hà N?i : Th?ng kê, 2011","VV00004003;""VV00004002"";""VV00004001"""
AQ - Ch? s? v??t khó. Bi?n khó kh?n thành c? h?i / Paul G. Stoltz, ,Stoltz Paul G.,"Nguy?n, Thanh Th?y, (d?ch)","Tâm lý;""Tâm lý h?c ?ng d?ng"";""Bí quy?t thành công""","Hà N?i : Lao ??ng xã h?i, 2012","Vb/92 15166;""Vb/92 15167"";""Vb/92 15168"";""Vb/92 15169"";""Vb/92 15170"";""Vb/92 15171"";""Vb/92 15163"";""Vb/92 15164"";""Vb/92 15165"""
Danh nhân ??t Thiên tr??ng - Nam ??nh (giai tho?i - truy?n ký) / ?? Thanh D??ng, ,"??, Thanh D??ng", ,"L?ch s?;""Danh nhân"";""Nam ??nh""","Hà N?i : V?n h?c, 2012",Vb/92 15173
Nh?ng l?i b?c b?ch / Jean Jacques Rousseau, ,Rousseau Jean Jacques,"Lê, H?ng Vân","Các lo?i khác;""T? truy?n""","Hà N?i : Tri th?c, 2012","Vb/92 15175;""Vb/92 15176"""
L?ch s? qu?c h?i Vi?t nam 1976-1992, , , ,"L?ch s?;""Qu?c h?i"";""Vi?t nam"";""1976-1992""","Hà N?i : CTQG -S? th?t, 2012","Vb/92 15178;""Vb/92 15179"""
"Mác, ?nghen, Lênin và chính tr? kinh t? h?c 2 / Mác C.", ,"Mác, C.","Lênin, V.I;""?nghen, Ph.""","Chính tr? kinh t? h?c;""Kinh t? h?c"";""Kinh ?i?n"";""Lênin"";""Mác"";""?nghen""","Hà N?i : S? th?t, 1962",Vc 9629
Phân tích k? thu?t ho?ch ??nh chi?n l??c giao d?ch /  Phan Th? Bích Nguy?t, ,"Phan, Th? Bích Nguy?t", ,"Ngân hàng - Tài chính;""Chi?n l??c giao d?ch"";""Ho?ch ??nh chi?n l??c""","Tp. H? Chí Minh : Kinh t?, 2012","VV00002604;""VV00002603"";""VV00002602"""
T? ?i?n thu?t ng? Pháp lu?t Pháp - Vi?t, , , ,"Ngôn ng? - T? ?i?n;""T? ?i?n Pháp - Vi?t"";""Pháp lu?t""","Hà N?i : T? ?i?n bách khoa, 2012","Vb/92 15189;""Vb/92 15188"""
N? n??c ngoài và qu?n lý n? n??c ngoài c?a Vi?t nam / H? Th? Thi?u Dao, ,"H?, Th? Thi?u Dao", ,"Ngân hàng - Tài chính;""N? n??c ngoài"";""Qu?n lý n? n??c ngoài""","Hà N?i : Tài chính, 2012","VV00002613;""VV00002612"";""VV00002611"";""VV00002610"";""VV00002609"";""VV00002608"";""VV00002607"";""VV00002606"";""VV00002605"""
Warren Buffett invests like a girl - Warren Buffett ??u t? nh? m?t cô gái / Louann Lofton, ,"Lofton, Louann", ,"Kinh t? ??u t?;""D?y cách ??u t?""","Hà N?i : Lao ??ng xã h?i, 2012","VV00008981;""VV00008980"";""VV00008979"";""VV00008978"";""VV00008977"";""VV00008976"";""VV00008975"";""VV00008974"";""VV00008973"""
??nh th?i ?i?m th? tr??ng. Chu k? và m?u hình trong các ch? s? ch?ng khoán / Raymond A. Merriman, ,Merriman Raymond A., ,"Ngân hàng - Tài chính;""Chu k? ch?ng khoán"";""M?u hình ch?ng khoán"";""Th?i ?i?m th? tr??ng""","Tp. H? Chí Minh : Kinh t?, 2012","VV00002626;""VV00002625"";""VV00002624"";""VV00002623"";""VV00002622"";""VV00002621"";""VV00002620"";""VV00002619"";""VV00002618"";""VV00002617"";""VV00002616"";""VV00002615"";""VV00002614"""
Nh?ng bài nghiên c?u v? B? T? b?n / ?nghen Ph., ,"?ngghen, Ph.", ,"B? t? b?n;""Kinh ?i?n"";""?nghen""","Hà N?i : S? th?t, 1963",Vc 9744
"Ngu?n g?c các loài. Qua con ???ng ch?n l?c t? nhiên hay s? b?o t?n nh?ng nòi ?u th? trong ??u tranh sinh t?n 1859. Tái b?n l?n th? 2. D?ch: Tr?n Bá Tín, Bùi V?n Nam S?n / Charles Darwin", ,Darwin Charles, ,"Các lo?i khác;""Ngu?n g?c các loài""","Hà N?i : Tri th?c, 2012","Vb/92 15242;""Vb/92 15243"""
"H?c thuy?t kinh t? c? c?u m?i, c? s? ?? xem xét l?i phát tri?n và chính sách / Justin Yifu Lin", ,Justin Yifu Lin, ,"Kinh t? h?c;""H?c thuy?t kinh t? c? c?u m?i (NSE)"";""Kinh t? phát tri?n"";""T?ng tr??ng kinh t?""","Hà N?i : Ngân hàng th? gi?i, 2012","VV00011782;""VV00011781"";""VV00011780"";""VV00011779"";""VV00011778"";""VV00011777"";""VV00011776"";""VV00011775"";""VV00011774"";""VV00011773"";""VV00011772"""
Giáo trình cao h?c: Qu?n tr? kinh doanh qu?c t? / PGS. TS. Hà Nam Khánh Giao, ,"Hà, Nam Khánh Giao, PGS.TS.", ,"Kinh t? qu?c t?;""Qu?n tr? kinh doanh"";""Qu?n tr? kinh doanh qu?c t?"";""Giáo trình""","Tp. H? Chí Minh : T?ng h?p, 2012","Vb/92 15261;""Vb/92 15262"";""Vb/92 15263"";""Vb/92 15264"";""Vb/92 15265"";""Vb/92 15266"";""Vb/92 15258"";""Vb/92 15259"";""Vb/92 15260"""
Th? tr??ng tài chính. Tái b?n l?n 1 / Nguy?n ??ng D?n, ,"Nguy?n, ??ng D?n","Lý, Hoàng Ánh, PGS.TS.","Ngân hàng - Tài chính;""Th? tr??ng tài chính""","Hà N?i : Ph??ng ?ông, 2012","VV00002601;""VV00002600"";""VV00002599"";""VV00002598"";""VV00002597"";""VV00002596"";""VV00002595"";""VV00002594"";""VV00002593"""
Giáo trình: Kinh t? chính tr? ??i c??ng / Ph?m V?n D?ng, ,"Ph?m, V?n D?ng","Mai, Th? Thanh Xuân;""V?, Th? ??u""","Kinh t? chính tr?;""Kinh t? chính tr?"";""??i c??ng"";""Giáo trình""","Hà N?i : ?HQG, 2012","Vb/92 15281;""Vb/92 15282"";""Vb/92 15283"";""Vb/92 15284"";""Vb/92 15285"";""Vb/92 15286"";""Vb/92 15287"";""Vb/92 15278"";""Vb/92 15279"";""Vb/92 15280"""
Qu?n tr? bán hàng (Sales Management) / Bùi V?n Danh, ,"Bùi, V?n Danh","Lê, Quang Khôi;""Nguy?n, V?n Dung""","Kinh t? th??ng m?i;""Qu?n tr? bán hàng""","Hà N?i : Ph??ng ?ông, 2012","VV00009665;""VV00009664"";""VV00009663"";""VV00009662"";""VV00009661"";""VV00009660"";""VV00009659"";""VV00009658"""
T? ?i?n l?ch s? và v?n hóa Lào / PGS. TS. Nguy?n L? Thi, ,"Nguy?n, L? Thi, PGS.TS.", ,"Ngôn ng? - T? ?i?n;""T? ?i?n"";""L?ch s?"";""V?n hóa"";""Lào""","Hà N?i : T?BK, 2012",Vb/92 15298
"Làm ít h?n, ki?m ti?n nhi?u h?n / Ph?m Th? Ph??ng Mai", ,"Ph?m, Th? Ph??ng Mai",Leon Jay,"Kinh t? th??ng m?i;""Làm gi?u"";""Ki?m ti?n nhanh""","Hà N?i : L?XH, 2012","VV00009673;""VV00009672"";""VV00009671"";""VV00009670"";""VV00009669"";""VV00009668"";""VV00009667"";""VV00009666"""
H??ng d?n tham kh?o v? ch?ng r?a ti?n và ch?ng tài tr? cho kh?ng b?. Tái b?n l?n 2 có ph?n b? sung và khuy?n ngh? ??c bi?t IX / Paul Allan Schott, ,Schott Paul Allan, ,"Ngân hàng - Tài chính;""Ch?ng r?a ti?n"";""Ch?ng tài tr? cho kh?ng b?""","Hà N?i : VhTT, 2007","VV00002674;""VV00002673"""
L?t vi?c ph?i làm sao? / Kerry Gleeson, ,"Gleeson, Kerry","Thu Huy?n, d?ch","Khoa h?c qu?n lý;""Qu?n lý công vi?c""","Hà N?i : Th?i ??i, 2012","VV00007879;""VV00007878"";""VV00007877"""
288 di?u k? giúp giám ??c ??a công ty lên t?m l?n m?nh / Nguy?n ??c Thu?n, ,"Nguy?n, ??c Thu?n","V??ng, ??c Thân","Kinh t? doanh nghi?p;""Di?u k? kinh doanh""","Hà N?i : C?c th?ng kê, 2012","VV00004663;""VV00004662"";""VV00004661"";""VV00004660"";""VV00004659"";""VV00004658"";""VV00004657"";""VV00004556"""
Niên giám th?ng kê Hà n?i 2011, , , ,"Th?ng kê kinh t?;""Niên giám Th?ng kê kinh t?"";""Hà n?i"";""2011"";""Th?ng kê kinh t? kinh t?"";""Th?ng kê kinh t? kinh t?""","Hà N?i : C?c th?ng kê, 2012","VV00006656;""VV00006655"";""VV00006654"""
M?t s? mô hình công nghi?p hóa trên th? gi?i và Vi?t nam / Mai Th? Thanh Xuân, ,"Mai, Th? Thanh Xuân", ,"Kinh t? công nghi?p;""Công nghi?p hóa""","Hà N?i : ?HQG, 2011","Vb/92 15339;""Vb/92 15340"";""Vb/92 15341"";""Vb/92 15342"";""Vb/92 15343"";""Vb/92 15344"";""Vb/92 15336"";""Vb/92 15337"";""Vb/92 15338"""
Các thu?t ng? h?p ??ng thông d?ng - Terminologie contractuelle commune., , ,"Nguy?n, Minh H?ng, d?ch","Lu?t;""Thu?t ng?"";""H?p ??ng"";""Pháp lu?t""","Hà N?i : T?BK, 2011","VV00014006;""VV00014005"""
S?a ??i b? sung hi?n pháp 1992 : Nh?ng v?n ?? lý lu?n & Th?c ti?n. T?p 1: Nh?ng v?n ?? chung v? hi?n pháp và b? máy Nhà n??c (sách chuyên kh?o), , , ,"Lu?t;""Hi?n pháp 1992 s?a ??i""","Hà N?i : H?ng ??c, 2012",VV00014004
"S?a ??i b? sung hi?n pháp 1992 : Nh?ng v?n ?? lý lu?n & th?c ti?n. T?p 2: Quy?n con ng??i, quy?n công dân, ch? ?? kinh t?, b?o hi?n và m?t s? v?n ?? khác", , , ,"Lu?t;""Hi?n pháp 1992 s?a ??i""","Hà N?i : H?ng ??c, 2012",VV00014007
Kinh t? qu?c t? - Bài t?p và ?áp án - International economics problems and solutions / Nguy?n V?n Dung, ,"Nguy?n, V?n Dung", ,"Kinh t? qu?c t?;""Kinh t? qu?c t?"";""Bài t?p"";""?áp án""","Hà N?i : Ph??ng ?ông, 2012","Vb/92 15356;""Vb/92 15357"";""Vb/92 15358"";""Vb/92 15359"";""Vb/92 15360"";""Vb/92 15361"";""Vb/92 15353"";""Vb/92 15354"";""Vb/92 15355"""
Bàn v? s?n xu?t hàng hoá và quy lu?t giá tr? / Mác C., ,"Mác, C.","Lênin, V.I;""Stalin, I."";""?nghen, Ph.""","Kinh ?i?n;""Lênin"";""Mác"";""Quy lu?t giá tr?"";""Stalin"";""S?n xu?t hàng hoá"";""?nghen""","Hà N?i : S? th?t, 1964","Vc 10192;""Vc 10193"""
